brewery_id,brewery_name,country_name,brewery_in_production,is_independent,beer_count,brewery_type,brewery_type_id,brewery_address,brewery_city,brewery_state,brewery_lat,brewery_lng,brewery_rating_count,brewery_rating_score,brewery_age_on_service,CARDINAL,DATE,EVENT,FAC,GPE,LANGUAGE,LAW,LOC,MONEY,NORP,ORDINAL,ORG,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK_OF_ART
1,(512) Brewing Company,United States,0,1,143,Micro Brewery,2,407 Radam Ln,Austin,TX,30.2236,-97.7697,180441,3.811,4021.343773148148,2,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
10,Abita Brewing Company,United States,0,1,182,Regional Brewery,11,21084 Highway 36,Abita Springs,LA,30.4821,-90.0552,1443805,3.488,4032.505914351852,0,4,0,0,2,0,0,0,1,0,0,1,0,2,0,2,0,0
101,Bellows Brew Crew,United States,0,1,7,Home Brewery,5,,,,0,0,2,0,3931.250972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10104,Third Base Brewery,United States,0,1,210,Brew Pub,4,500 Blairs Ferry Road NE,Cedar Rapids,IA,42.0352,-91.6398,15859,3.775,3945.2708217592594,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
10147,Bulmers Cider,England,0,0,78,Cidery,8,"Cider Mills, Plough Lane",Hereford,Herefordshire,52.0594,-2.72758,308949,3.363,4025.053171296296,1,4,0,0,1,0,0,2,0,0,2,2,1,4,0,0,0,0
102,Bent River Brewing Company,United States,0,1,267,Micro Brewery,2,1413 5th Ave,Moline,IL,41.5059,-90.517,111217,3.567,3962.4497453703702,0,2,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0
10220,Copper Kettle Brewing Company (Colorado),United States,0,1,514,Micro Brewery,2,1338 South Valentina St.Unit #100,Denver,CO,39.6924,-104.89,79685,3.851,3928.7580324074074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Biddy Early Brewery,Ireland,1,1,1,Micro Brewery,2,,Inagh,Munster,52.877,-9.17676,21,3.55,3890.2177199074076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Royal Swinkels Family Brewers,Netherlands,0,1,88,Macro Brewery,1,De Stater 1,Lieshout,Noord-Brabant,51.5171,5.60823,504743,2.903,4012.465821759259,4,1,0,1,4,0,0,0,1,0,1,3,2,2,0,0,0,0
10915,Ayinger Privatbrauerei,Germany,0,1,19,Micro Brewery,2,Münchener Straße 21,Aying,Bayern,47.9722,11.7738,608782,3.713,4029.404351851852,0,2,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1
11,Adnams,England,0,1,71,Micro Brewery,2,East Green,Southwold,Suffolk,52.3271,1.68066,328500,3.408,4022.8028125,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
110,Bierbrouwerij De Koningshoeven,Netherlands,0,0,13,Macro Brewery,1,Eindhovenseweg 3,Berkel-Enschot,Noord-Brabant,51.5435,5.1288,1169904,3.746,4012.5211458333333,0,2,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,2
111,Speciaalbierbrouwerij St. Christoffel,Netherlands,0,1,15,Micro Brewery,2,Rijnesteinstraat 1,Breda,Noord-Brabant,51.5698,4.80558,73329,3.421,3976.4133217592594,1,2,1,0,0,0,0,0,0,0,0,4,0,9,1,0,0,0
112,Big Bang Brewery,United States,1,1,1,Micro Brewery,2,650 Fifth Street #403,San Francisco,CA,37.7758,-122.398,20,2.736,3593.3175925925925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11253,Pints Brewery & Sports Bar (Colorado Belle Hotel & Casino),United States,0,1,68,Brew Pub,4,2100 S. Casino Drive,Laughlin,NV,35.1584,-114.573,4616,3.302,3814.787638888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Big Boss Brewing Company,United States,0,1,332,Micro Brewery,2,1249 Wicker Dr,Raleigh,NC,35.8104,-78.6179,128242,3.606,4032.6180671296297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Big Buck Brewery,United States,0,1,100,Micro Brewery,2,550 South Wisconsin Ave,Gaylord,MI,45.0224,-84.6825,10329,3.563,3999.3497569444444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
116,Big Dog's Brewing Company,United States,0,1,264,Micro Brewery,2,4547 N. Rancho Drive,Las Vegas,NV,36.2427,-115.236,64253,3.604,3992.5500231481483,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
11715,Privatbrauerei Herrenhausen,Germany,0,1,14,Micro Brewery,2,Herrenhäuser Straße 83-99,Hannover,Niedersachsen,52.3935,9.68141,10168,3.242,3779.4947800925925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118875,Dry Gulch Trading Co.,United States,0,1,32,Home Brewery,5,,,,0,0,82,0,2755.3957175925925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,BRB Brewing,Canada,1,1,0,Micro Brewery,2,180-14200 Entertainment Blvd,Richmond,BC,49.1344,-123.065,1819,3.322,3955.479027777778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Big Rock Brewery,Canada,0,1,484,Regional Brewery,11,5555 - 76 Avenue SE,Calgary,AB,50.9847,-113.956,151468,3.36,3993.539641203704,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
123,Big Time Brewing Company,United States,0,1,328,Micro Brewery,2,4133 University Way NE,Seattle,WA,47.6576,-122.313,20176,3.649,4020.9361458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Bill's Tavern & Brewhouse,United States,0,1,108,Micro Brewery,2,188 North Hemlock Street,Cannon Beach,OR,45.8981,-123.961,9134,3.513,3937.517662037037,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
